,skill,count,word_count,stem skill
2864,photoshop,36,1, photoshop
989,marketing,36,1, market
3706,routing,36,1, rout
1804,node,35,1, node
500,backbone,35,1, backbon
435,specification,35,1, specif
2303,ssas,35,1, ssa
926,emc,34,1, emc
1518,lead,34,1, lead
461,cms,34,1, cm
1238,rdbms,34,1, rdbm
198,validation,33,1, valid
1696,f5,33,1, f5
1316,2012,33,1, 2012
3409,django,33,1, django
200,underst,33,1, underst
2081,mpls,33,1, mpl
2164,risk,33,1, risk
729,github,33,1, github
2931,vbscript,32,1, vbscript
1192,packaging,32,1, packag
3303,juniper,32,1, junip
79,jsf,32,1, jsf
512,b2b,32,1, b2b
244,planning,32,1, plan
972,objective-c,31,1, objective-c
2724,lamp,31,1, lamp
2190,technical,31,1, technic
1447,ldap,31,1, ldap
1313,server,31,1, server
504,sass,30,1, sass
3151,siem,30,1, siem
1786,mechanical,30,1, mechan
2488,openstack,30,1, openstack
1788,physics,30,1, physic
276,solr,30,1, solr
396,build,30,1, build
884,hudson,30,1, hudson
1831,paas,30,1, paa
4194,eigrp,30,1, eigrp
453,supervisor,30,1, supervisor
237,cism,29,1, cism
1613,desktop,29,1, desktop
887,subversion,29,1, subvers
1440,webservices,29,1, webservic
2305,mapreduce,29,1, mapreduc
1507,mdm,29,1, mdm
1566,cobol,28,1, cobol
1575,visualforce,28,1, visualforc
361,accounting,28,1, account
252,aix,28,1, aix
2174,epic,27,1, epic
3494,ec2,27,1, ec2
1062,reactjs,27,1, reactj
2925,nexus,27,1, nexu
2462,payroll,27,1, payrol
530,graphics,27,1, graphic
975,servlets,26,1, servlet
310,adobe,26,1, adob
403,jcl,26,1, jcl
326,tester,26,1, tester
4688,alm,26,1, alm
1950,vsphere,26,1, vsphere
295,firmware,26,1, firmwar
1049,pl1,26,1, pl1
241,retail,26,1, retail
2727,mathematical,25,1, mathemat
968,leadership,25,1, leadership
1433,sip,25,1, sip
1733,cics,25,1, cic
1870,redhat,25,1, redhat
2062,laptop,25,1, laptop
1061,react.js,25,1, react.j
1807,wireless,25,1, wireless
2199,mq,25,1, mq
2424,olap,25,1, olap
1789,rf,25,1, rf
2144,scientific,24,1, scientif
2902,wsdl,24,1, wsdl
5213,monitoring,24,1, monitor
628,printer,24,1, printer
12,ar,24,1, ar
1353,microservices,24,1, microservic
6017,eclipse,24,1, eclips
505,less,24,1, less
959,linq,24,1, linq
1228,ant,24,1, ant
430,multi-threading,23,1, multi-thread
501,ember,23,1, ember
1879,ebs,23,1, eb
830,h,23,1, h
496,tibco,23,1, tibco
835,ad,23,1, ad
1734,enterprise,23,1, enterpris
2516,wordpress,23,1, wordpress
94,banking,23,1, bank
1916,uat,23,1, uat
2177,waterfall,23,1, waterfal
13,ap,22,1, ap
160,rhel,22,1, rhel
2063,peripherals,22,1, peripher
3317,helpdesk,22,1, helpdesk
456,cisa,22,1, cisa
2433,vba,22,1, vba
